,userID,genreID,ratings
213,17,9,1
214,17,10,1
215,17,11,1
216,18,0,1
217,18,1,1
218,18,2,11
219,18,3,1
220,18,4,1
221,18,5,41
222,18,6,1
223,18,7,1
224,18,8,1
225,18,9,1
226,18,10,1
227,18,11,1
228,19,0,1
229,19,1,1
230,19,2,1
231,19,3,1
232,19,4,11
233,19,5,31
234,19,6,11
235,19,7,1
236,19,8,1
237,19,9,1
238,19,10,1
239,19,11,1
240,20,0,1
241,20,1,1
242,20,2,1
243,20,3,1
244,20,4,11
245,20,5,31
246,20,6,11
247,20,7,1
248,20,8,1
249,20,9,1
250,20,10,1
251,20,11,1
252,21,0,1
253,21,1,1
254,21,2,1
255,21,3,1
256,21,4,21
257,21,5,31
258,21,6,1
259,21,7,1
260,21,8,1
261,21,9,1
262,21,10,1
263,21,11,1
264,22,0,1
265,22,1,1
266,22,2,11
267,22,3,1
268,22,4,11
269,22,5,31
270,22,6,1
271,22,7,1
272,22,8,1
273,22,9,1
274,22,10,1
275,22,11,1
276,23,0,1
277,23,1,1
278,23,2,1
279,23,3,1
280,23,4,1
281,23,5,21
282,23,6,31
283,23,7,1
284,23,8,1
285,23,9,1
286,23,10,1
287,23,11,1
288,24,0,1
289,24,1,1
290,24,2,1
291,24,3,11
292,24,4,11
293,24,5,1
294,24,6,31
295,24,7,1
296,24,8,1
297,24,9,1
298,24,10,1
299,24,11,1
300,25,0,1
301,25,1,1
302,25,2,1
303,25,3,1
304,25,4,1
305,25,5,21
306,25,6,21
307,25,7,1
308,25,8,1
309,25,9,11
310,25,10,1
311,25,11,1
312,26,0,1
313,26,1,1
314,26,2,1
315,26,3,1
316,26,4,11
317,26,5,21
318,26,6,11
319,26,7,1
320,26,8,1
321,26,9,11
322,26,10,1
323,26,11,1
324,27,0,1
325,27,1,1
326,27,2,1
327,27,3,1
328,27,4,1
329,27,5,31
330,27,6,11
331,27,7,1
332,27,8,11
333,27,9,1
334,27,10,1
335,27,11,1
336,28,0,1
337,28,1,1
338,28,2,1
339,28,3,1
340,28,4,11
341,28,5,21
342,28,6,21
343,28,7,1
344,28,8,1
345,28,9,1
346,28,10,1
347,28,11,1
348,29,0,1
349,29,1,1
350,29,2,1
351,29,3,1
352,29,4,1
353,29,5,31
354,29,6,21
355,29,7,1
356,29,8,1
357,29,9,1
358,29,10,1
359,29,11,1
360,30,0,1
361,30,1,1
362,30,2,11
363,30,3,1
364,30,4,1
365,30,5,11
366,30,6,21
367,30,7,1
368,30,8,11
369,30,9,1
370,30,10,1
371,30,11,1
372,31,0,1
373,31,1,1
374,31,2,1
375,31,3,1
376,31,4,1
377,31,5,21
378,31,6,31
379,31,7,1
380,31,8,1
381,31,9,1
382,31,10,1
383,31,11,1
384,32,0,1
385,32,1,1
386,32,2,1
387,32,3,1
388,32,4,1
389,32,5,21
390,32,6,21
391,32,7,1
392,32,8,11
393,32,9,1
394,32,10,1
395,32,11,1
396,33,0,1
397,33,1,1
398,33,2,1
399,33,3,1
400,33,4,1
401,33,5,21
402,33,6,21
403,33,7,1
404,33,8,11
405,33,9,1
406,33,10,1
407,33,11,1
408,34,0,1
409,34,1,1
410,34,2,1
411,34,3,1
412,34,4,11
413,34,5,41
414,34,6,1
415,34,7,1
416,34,8,1
417,34,9,1
418,34,10,1
419,34,11,1
420,35,0,1
421,35,1,1
422,35,2,1
423,35,3,1
424,35,4,1
425,35,5,21
426,35,6,31
427,35,7,1
428,35,8,1
429,35,9,1
430,35,10,1
431,35,11,1
432,36,0,1
433,36,1,1
434,36,2,1
435,36,3,1
436,36,4,1
437,36,5,31
438,36,6,21
439,36,7,1
440,36,8,1
441,36,9,1
442,36,10,1
443,36,11,1
444,37,0,1
445,37,1,1
446,37,2,11
447,37,3,1
448,37,4,11
449,37,5,21
450,37,6,11
451,37,7,1
452,37,8,1
453,37,9,1
454,37,10,1
455,37,11,1
456,38,0,1
457,38,1,1
458,38,2,1
459,38,3,1
460,38,4,1
461,38,5,31
462,38,6,21
463,38,7,1
464,38,8,1
465,38,9,1
466,38,10,1
467,38,11,1
468,39,0,1
469,39,1,1
470,39,2,1
471,39,3,1
472,39,4,11
473,39,5,21
474,39,6,11
475,39,7,1
476,39,8,1
477,39,9,11
478,39,10,1
479,39,11,1
480,40,0,1
481,40,1,1
482,40,2,1
483,40,3,1
484,40,4,11
485,40,5,11
486,40,6,31
487,40,7,1
488,40,8,1
489,40,9,1
490,40,10,1
491,40,11,1
492,41,0,1
493,41,1,1
494,41,2,11
495,41,3,1
496,41,4,11
497,41,5,11
498,41,6,21
499,41,7,1
500,41,8,1
501,41,9,1
502,41,10,1
503,41,11,1
504,42,0,1
505,42,1,1
506,42,2,1
507,42,3,1
508,42,4,11
509,42,5,21
510,42,6,11
511,42,7,1
512,42,8,1
513,42,9,11
514,42,10,1
515,42,11,1
516,43,0,1
517,43,1,1
518,43,2,1
519,43,3,1
520,43,4,11
521,43,5,21
522,43,6,11
523,43,7,1
524,43,8,1
525,43,9,11
526,43,10,1
527,43,11,1
528,44,0,1
529,44,1,1
530,44,2,1
531,44,3,1
532,44,4,1
533,44,5,31
534,44,6,11
535,44,7,1
536,44,8,1
537,44,9,11
538,44,10,1
539,44,11,1
540,45,0,1
541,45,1,1
542,45,2,1
543,45,3,1
544,45,4,11
545,45,5,31
546,45,6,11
547,45,7,1
548,45,8,1
549,45,9,1
550,45,10,1
551,45,11,1
552,46,0,1
553,46,1,1
554,46,2,1
555,46,3,1
556,46,4,11
557,46,5,31
558,46,6,11
559,46,7,1
560,46,8,1
561,46,9,1
562,46,10,1
563,46,11,1
564,47,0,1
565,47,1,1
566,47,2,1
567,47,3,1
568,47,4,1
569,47,5,41
570,47,6,1
571,47,7,1
572,47,8,1
573,47,9,11
574,47,10,1
575,47,11,1
576,48,0,1
577,48,1,1
578,48,2,1
579,48,3,1
580,48,4,1
581,48,5,41
582,48,6,11
583,48,7,1
584,48,8,1
585,48,9,1
586,48,10,1
587,48,11,1
588,49,0,1
589,49,1,1
590,49,2,1
591,49,3,1
592,49,4,11
593,49,5,11
594,49,6,21
595,49,7,1
596,49,8,1
597,49,9,11
598,49,10,1
599,49,11,1
